,essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,rater2_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
1527,1532,1,"Dear @ORGANIZATION1, In many ways computers have been very useful to the human rare. They can been used to look up information, talk to family and friends music etc. Don't you think people are wasting more time on the computer instead of getting exercise. It's clear that computers can do just about anything want than to do. But why spend your time on the computer when you can spend time with your family. Playing sports, or getting some fresh air. I think computers have a positive effect on people and negative effect one of the positive effects is being able to talk to your friends. i know sometimes we are not able to see them as much in school. In my opinion I think it is a great way so you can catch up on funny times that you can and friends shared. Now here comes the negative effect. Mang kids get bulled and picked by other kids over the internet. This can cause other kids to have a low self esteem, and cause dangerous events in the future. When it comes to computer they have saved many people life. Some of these ways are finding cures to harmful deases. Computers have information when serious weather storms are coming and prepare us for the weather. Wouldn't you agree that computers have played a huge role in our lifes. Sometimes we she take a break from them and enjoy nature. So have fun with technology and don't forget to stay active too.",3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,
1099,1102,1,"Dear local newspaper, I think that the computer is not a bad thing becase of three resons one reson is that we can learn a bought a faraway place. Another reson is they teach hand-eye coordination. The last reson is we can talk to frteinds and meet new people. From the computer we can learn a bought a faraway place if we were doing a report on it or just our of curiosity. We can learn wat kind of plantation grow there for food for example tropical places grow bananas and cocanuts. We can learn wat they eat like in @LOCATION1 they eat many beans a lot of there food have beans even there salads. We can find out there language as well maybe they talk spanish like in @LOCATION2. You can also teach hand-eye coordination becase it involves using your fingers and eyes to see what you are typing. You use ur hands on evry thing while typing wether you are typing or you are using the mouse. But it is not just for learning things it is also for freinds becase of al these sites like myspace, facebook, aim, webchat. The posibilities are endless u can even play games. If you dont know someone on face, book, or myspace thats okay it is a great way to meet new people and new freinds. And another thing if u are having trouble findin freind you can just see if they are online. It is good for getting together somwhere or something. And for those pepole who think it is taking away family time you can always just say okay thats enough and talk to them. So that is it they are good because u can learn of places, hand-eye coordination, and talk to new and old freinds. so they are good",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
498,501,1,"Dear, @ORGANIZATION1 you agree with what I'm trying to tell about people use the computer more than exsersise? Well first more and more people use computers but how does it benifit them. Secondly, they are spending to much time on their computer than exercising. Finally they spend less and less time with their family and being active. First more and more people use computers but how does that benifit them. Computers is just a adicting technology that makes you lazy and slow. Does using the computer @CAPS6 you with problems your having with your family...@CAPS11! Well I know this from ex perience. My mom is always on face book and I hate it I figure she loves the computer more then @CAPS7 do you want your kids to think that about you? As the days pass by her time on the computer increase and @CAPS1 sitting there needing @CAPS6 on homework and i'm thinking @CAPS2 @CAPS3 YOU @CAPS4""@CAPS5 @CAPS6 @CAPS7 @CAPS1 @CAPS9. See i was just thiking that cause @CAPS3 I said that it's a rap for @CAPS7 but @CAPS1 just trying to say this computer went benifit anyone @CAPS11 way. Second I want to inform the @CAPS12 @CAPS13 paper is that people are spending more time on the computer than exsercising. The obeast rate has been higer than it ever been. I believe by @PERCENT1! COME ON this is @CAPS14! people come home by @CAPS15.K and other fast food @NUM1 go on the computer and eat. Over time you get bigger and your apperence change. You began to look sloppy and nobody wants you. You look back and regret doing what you did. Finally you spend less and less time with you family. This causes you grow apart from your family your kids pick up bad habbits and do the opposite of what you want them to do. This tells @CAPS7 that the computer is just @CAPS11 good at all. In conclusion I informed you on why I dislike computers. They @CAPS4'@CAPS5 benift you. Makes you lazy and keeps you from you kids. So do oyou the local @CAPS13 paper agree? ",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
212,213,1,"Dear local newspaper, I just wanted to say that I do I agree with you that some people spend a lot of time on the computer. My reasons are that people need to exersize, go out doors. And have fun. If you keep reading you'll understand why they need to do theis things. My first reason was exersizeing. And the reason why I say exersizeing is because you don't need to be on the computer all day long. So many things that they can do, is run, jog, and go for bike rides. I mean it's ok to go on the computer once and a while to learn but that's why they have books, and school to learn about things. My second reason was going out-side and the reason for that is because people need to get fresh air and not be locked inside all day. Another one was to explore and go on a hike to see what is out there and just have a good time. My other reason was nature. And what I mean by that is you can go to the zoo and learn about stuff there to. Another thing is that you can do much more with out being on the computer all day long. My last reason was you can talk to your friend about stuff, you can go to the mall all day, you can also hang out with your friend and have a sleep over and watch movies. You don't need to stay on the computer all day you need to have fun. This is why I say you don't need to be on the computer. You can do other stuff and still learn with-out being on the computer. For once maby insed of talking online you can actultly go to your friends house and talk. Thank you for your time. Hope to talk to you soon.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
1066,1069,1,"@ORGANIZATION1, @CAPS1 of people use computers @CAPS2 for many different types of things. Computers are very beneficial to society. Even though people @MONTH1 use their computers too much, the tasks they complete help our world run smoothly. Also, computers allow us to keep in touch with friends and family that we don't see anymore, and they teach us valuable information very quickly. Without computers, society would not run as smoothly as it does now. One way that computers benefits our society, is that they complete tasks such as writing a paper, researching information,..etc, much quicker. For example, if you, the @ORGANIZATION1, needed to quickly print an article in the paper on the devastating earthquake in @LOCATION1, computers would greatly benefit you because they would allow you to type the article much quicker than having to handwrite it. Computers are very beneficial to society because they allow us to complete things very quickly and efficiently. Another reason why computers are very beneficial to society is because they allow us to maintain relationships with people from long distance and allow us to always keep in touch with old friends and family. Moving to from about @DATE1, computers have greatly helped and I stay halfway country. In a recent survey by @PERCENT1 of college graduate a computer stay in town friends from stay in but allow you to actually see the are our society is beneficial by computers because they world. reason society is because they alloe people very quickly. Search engines such as @ORGANIZATION3, @ORGANIZATION4, @CAPS3, and more allows us to research anything we want to know at just the click of the button. This ability to know anything very quickly has agreat effect on people, without of this knowledge people becomemore intellectual and intelligent and with that intelligence, they make great things happen. According to @PERSON1, a computer scientist at @ORGANIZATION2, The knowledge people get from computer search engines allows them to better do @CAPS2 things and achive more in thier lives"". Computers benefit society and have great effect on people when they are balanced our with other important things such as exercise and socializing. They teach us new information quickly, perform tasks, quickly and effeciently and allow us to keep in touch with people across the world. If it weren't for computers things would take longer to get done and society would become worse. We need computers to do @CAPS2 things and do tasks needed to live life.""",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
1089,1092,1,"Dear @CAPS1 @CAPS2 @CAPS3 @CAPS4, Are you always telling your kids to do their homework and get off the computer? Well, I might just be able to help. Computers do not benefit our society today. People are spending to much time on them; not enjoying the outdoors, and are taking away time to spend with friends and family. I believe having a limit each day on your computer might help solve these problems. The computers can be very distracting and you can use them too offten. Stairing at the computer screen can damage your eyes and kill brain cells. Thats one thing kids and adults dont notice. You need your brain cells for school. Joins and other activities, computers can also distract you from completing work, and then you have to stay up late to finish homework should come before the computer. Time flys by as your clicking and typing. The next thing you know as it's ten o'clock and your work is not completed. Since my schedule is so busy after school. I try to complete my work, then go to the computer before dance. This way I am my friends and relax. Taking time away from the computer is a smart idea. As it comes to @DATE1 time the weather is going to be beautiful and you don't want to waste a pretty day on the computer, @CAPS5 human body needs oxygen. Clearly, computers don't supply that. A great way to recieve oxygen is going outside for some exersize and energy. Playing outside can offer a lot more than a computer. You can swim, jump, or play sports. My doctor once told me, "" Everyone should have atleast an hour of exersize a day. ""You can't accomplish that by sitting at your computer. Next time there is sunshine out, no matter what season it is, go outside and take a break from electronics. Spending time with family and friends is a fun way to stay off the computer. Friends and Family are not people to take advantage of. They are people who are there for you when you are down and make you laugh. When your relatives come to town that you havn't seen in a while, You don't want to spend it on the computer. Talking and catching up with one another is a great way to re-connect. During family holidays, we don't bring our computers. We shut them off to spend time with each other. Friends and family are special gifts. So, don't throw away friendships or relationships with your family. Get away from the computer and bond. (did not finish)",5.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,
514,517,1,"Dear local newspaper, Computers are fairly new, everone has one everone wants one! There are so many great things they can be used for. But are they getting used to much? As a student and a teenager I know I am using mine way more than I need to. Sure they are fun, and sure their very usefull but they are time consuming. You @MONTH1 be doing work or chatting with a friend, but your also just sitting their. Being on the computer taks away from lots of exercising or doing other activits. I am deffintly not saying to stop using your computer totally, becasue they are agreat inveshion. But why sit on a computer chatting to a friend that lives right down the street, when you could be outside, playing a game of kickball or something fun. It would be a good idea just to chat on line with the friends or family thay live far from you like in other states. Another time that I would say to use your computer is when doing some work, projects or homework. Or even if your job involves doing research. Computers are a great tool to use. But most people aboose that privilage and go one other websites that have nothing to do with there reserech. So if you need a computer for school or work stay on task! That way you get what you need done. If you are a student or have a job which is the comon day person it's hard not to use the computer. There are so many helpful things to use it for. But that doesn't mean you need to be on it all day and night. Take about @NUM1 minutes to an hour of your day talk to those people you never get to see, do your reach. Then get up and enjoy nature. You don't need more then an hour. I stronly agree with the experts people are spending way to much time on there cumputers. Use it to befit you, and to help you not to kemp you from getting bord. Don't abuse the fact you have enter-net if you need resherech get that done stay on task. Rember an hour a day is more than enough! So get off your computers go out side and stay fit!",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
429,432,1,"Dear @CAPS1 @CAPS2, Experts say, ""@PERCENT1 of @CAPS3 spend @NUM1 hours or more on the computer daily"" The reccomened time limits is @NUM2 hour. By spending more time on computers people aren't exercising. Secondly, those people aren't enjoying life and nature. Lastly, the use of computer puts a strains on social skills between friends and family. Surely the effects of computers cant be good. First off, people in this aren't exercising as much as they should. Obesity and diabetes effects <@PERCENT1@NUM3> of @CAPS4. Both of these diseases are lethal. If you spend so many hours on the computer these diseases wouldn't spread nearby as fast. When will you get off the computer for an hour and go outside or to the gym and exercuse so these won't affect you? Secondly, nature is a marvelous thing. Sure camping in a tent and catching dinner isn't for everyone. But, there are many ways to experience nature without ""roughing it."" You can go to the or to the aquarium. Sit on your back pond and go bird watching. All of these are great alternatives to sitting at the computer screen, looking at pictures of nature. Lastly, people aren't spending enough time with family and friends. Yes you can email, I. M., @CAPS5, and @CAPS6 family and friends, but its not the as people are less and friendly then they. Mainly of socia skills. We need to the of social without computer. In conclusion, computer do have a negative affect on people in the long tern. People aren't exersising. They aren't enjoying nature. Finally their bonds between friends and family are weahiming. This is a growing problem which must be put to end. Thank you for your time.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
535,538,1,"Do you think computers benifit us? I think they do. There are many way computers do and don't benifit us are a lot more use full then the way they don't. Like kids in school use an online text books. Also a lot of company's have websites so we can see what there about before we choose them for the job. We also use computers to look up directions to places we want to go so we don't get lost. School kids benifit from computers a lot because they would have to carry home tons of books but instead they just go on the computer to get the online book instead of carrying home @NUM1 really heavy books. I know I like to go on the computer better then carrying really heavy books home. Also when you look for a home decorator you just go on the computer and look up websites to see some of the work they have done. It helps out a lot becase than you don't have to figure of the hard way that the decorator is not good and end up spending a lot of money on a room you don't like. Also if you are looking for a job you can look up there website on the computer and avail them to see if you can get an interview rather then wasting your nature going there. I also use the computer to look up ways to get some where and it's a lot easier to do that then to start driving and get lost I know they have gps's now but they cost a lot more then some on a computer you can find out. I still think computers benifit us in many ways. Like using an online text book instead of carrying your huge textbooks home. Also using computers to look up websites or to search adresses, is a lot easier with computers. That is why I think computers benefit us.",4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,
1182,1186,1,"Dear @CAPS1: Some people believe computers benefit society. However, others feel they are too consuming. I for me I belive computers help society. Computers teach hand-eye cordination, give people, and even allows computer to chat online with other people. I'd bet your job requires you to use a computer, you probably even have a personal computer which you like to use to chat with friends. I do that all the time and I like it. Another thing I like are sports. One of my favorite sports is softball. In softball you need to have hand-eye cordination, this will help you swing at the ball more accuratly. When a pitcher throws the ball you have to had the bat at the right angle and watch the ball to know when to swing if kids used computers and become good at hand-eye cordination, then possibly more kids would join a local sports team, and possibly even join travel team. Do you like to travel? I do, and are why I learn about places before I go is by looking that particular place up on the internet. About three years ago I went on vacation to @LOCATION1. I wanted to know what it was like there because I had never gone before, so when I looked it up I found out that they had many torist attractions and ""packages"" that let you swim with dolphins, I was very excited to go and when I did, I had a biast, and to think if I didn't look it up I would not have known what kinds of fun things they had! No wonder so many people like computers! One of the biggest reasons why I like computers is because I can chat with my friends online one main attraction online is @CAPS2, everybody, primarily, has one. Some people have one because they like to look at pictures. I have one because I like to chat with my friends. One night I was chatting with a friend we were laughing having a great time, and then she reminded me that we had science homework due the very next day! I thanked her and then completed my work. You see if kids chat online their friends can remind them of important nescesitys such of homework. This could impove grades by @PERCENT1! So you now see why society needs computers and if you have forgotten let me remind you: computers teach you hand-eye cordiantion, let's you learn about faraway places and people, and now allows you to chat online. Just think what would society be like with no computers.",5.0,4.0,,9.0,,,,,,,,,,,,,,,,,,,,,
